fragment,layer,delta_beta,raw_auc_all,filtered_auc_all,auc_change_all,raw_auc_valid,filtered_auc_valid,auc_change_valid
frag1,59,50,0.745157,0.745855,0.000697,0.501690,0.503049,0.001358
frag1,59,200,0.745157,0.746643,0.001485,0.501690,0.504589,0.002899
frag1,59,1000,0.745157,0.748606,0.003448,0.501690,0.508427,0.006737
frag1,59,5000,0.745157,0.753074,0.007916,0.501690,0.517164,0.015474
frag2,64,50,0.672373,0.672598,0.000225,0.497399,0.497728,0.000330
frag2,64,200,0.672373,0.672856,0.000483,0.497399,0.498100,0.000701
frag2,64,1000,0.672373,0.673579,0.001206,0.497399,0.499147,0.001749
frag2,64,5000,0.672373,0.675416,0.003043,0.497399,0.501930,0.004532
frag3,49,50,0.708694,0.709715,0.001021,0.510617,0.512327,0.001710
frag3,49,200,0.708694,0.710999,0.002305,0.510617,0.514484,0.003867
frag3,49,1000,0.708694,0.714205,0.005511,0.510617,0.519870,0.009253
frag3,49,5000,0.708694,0.721431,0.012737,0.510617,0.532011,0.021394
